Код;Описание;Уровень
A;Основание и фундаменты;1
A10;Фундаменты;2
A1010;Стандартные фундаменты;3
A1010100;Фундаментные плиты и ростверки;4
A1010110;Ленточные фундаменты;5
A1010120;Фундаменты на естественном основании;5
A1010130;Свайные оголовки;5
A1010140;Свайный ростверк в виде монолитной ленты;5
A1010150;Свайный ростверк в виде плиты;5
A1010160;Монолитная фундаментная плита;5
A1010200;Фундаментные стены;4
A1010210;Монолитные фундаментные стены;5
A1010220;Фундаментные стены из бетонных блоков;5
A1010230;Деревянные фундаментные стены;5
A1010300;Пристенный дренаж;4
A1010310;Фундаментные водостоки;5
A1010400;Наружная изоляция по периметру;4
A1010410;Жесткая наружная теплоизоляция;5
A1010420;Вертикальная гидроизоляция по периметру наружных стен;5
A1010430;Гидроизоляция выступа фундаментной плиты по периметру здания;5
A1010500;Свайные фундаменты;4
A1010510;Сваи - Монолитные;5
A1010520;Сваи - Сборные бетонные;5
A1010530;Сваи - Стальные трубы;5
A1010540;Сваи - Стальные Двутавровые;5
A1010550;Сваи - Конусные;5
A1010560;Сваи - Деревянные обработанные;5
A1020;Специальные части фундаментов;3
A1020200;Фундаментные балки, рандбалки;4
A1020210;Монолитные фундаментные балки;5
A1020300;Кессоны;4
A1020310;Кессоны - Кессонная камера;5
A1020400;Распорки;4
A1020500;Удаление воды;4
A1020700;Цементация - усиление фундамента;4
A1020710;Основание инъекции под давлением;5
A1020900;Другие элементы фундамента;4
A1030;Плита по грунту;3
A1030100;Стандартная плита по грунту;4
A1030110;Плита по грунту - армированная;5
A1030120;Плита по грунту - неармированная;5
A1030200;Плита по грунту ребрами вниз;4
A1030300;Наклонная плита по грунту;4
A1030400;Траншеи;4
A1030500;Приямки и основания;4
A1030600;Подфундаментный дренаж;4
A1030700;Подфундаментная изоляция;4
A1030710;Дополнительная дренажная труба;5
A20;Котлован и подвальные конструкции;2
A2010;Котлован;3
A2010100;Выемка грунта и планировка основания;4
A2010110;Выемка грунта;5
A2010120;Насыпь грунта до отметки основания (когда дно котлована выше сущ. рельефа);
A2010130;Обратная засыпка с послойным трамбованием;
A2010200;Обратная засыпка пазух котлована и уплотнение;4
A2010300;Укрепление откосов и стенок котлована;4
A2010310;Укрепление подпорками;5
A2020;Подвальные стены;3
A2020100;Конструкции стен подвала;4
A2020110;Подвальные стены - монолитные;5
A2020120;Подвальные стены - сборный бетон;5
A2020130;Подвальные стены - деревянные;5
A2020200;Гидроизоляция;4
A2020210;Фундаментная гидроизоляция;5
A2020300;Утепление подвальных стен;4
A2020310;Жесткая изоляция фундаментных стен;5
A2020400;Внутренняя отделка подвала;4
B;Несущие и ограждающие конструкции;1
B10;Конструкции выше нуля;2
B1010;Конструкции этажа;3
B1010100;Конструкции подвесного цокольного перекрытия;4
B1010200;Конструкции этажа - Вертикальные элементы;4
B1010210;Несущие стены - Монолитная бетонная;5
B1010215;Несущие стены - Сборная бетонная;5
B1010220;Несущие стены - Каркас обшитый гипсокартоном;5
B1010225;Несущие стены - Каркас оштукатуренный;5
B1010240;Колонны - Монолитные;5
B1010245;Колонны - Сборный бетон;5
B1010250;Колонны - Стальные;5
B1010255;Колонны - Деревянные;5
B1010300;Конструкции этажа - Горизонтальные элементы;4
B1010310;Балки - Монолитные;5
B1010320;Балки - Сборный бетон;5
B1010325;Балки - Сборный бетон ТТ-образные;5
B1010330;Балки - Стальные;5
B1010340;Балки - Деревянные (Цельная древесина);5
B1010345;Балки - Деревянные (Клееная древесина);5
B1010350;Балки настила - Стальные;5
B1010355;Балки настила - Деревянные (Цельная древесина);5
B1010358;Балки настила - Деревянные (Клееная древесина);5
B1010370;Металлический профнастил;5
B1010375;Деревянное покрытие;5
B1010380;Сборные пустотные плиты;5
B1010400;Смешанные конструктивые системы;4
B1010410;Монолитная ж/б плита опертая по 2 сторонам;5
B1010412;Монолитная плоская ж/б плита;5
B1010414;Монолитная ж/б плита с капителями;5
B1010416;Монолитная балочная ж/б плита;5
B1010418;Кесонная монолитная плита;5
B1010420;Монолитная балка и плита - по 2 сторонам;5
B1010422;Монолитная балка и плита - по 4 сторонам;5
B1010430;Композитная балка и плита;5
B1010432;Композитная балка, настил и плита;5
B1010434;Монолитная ж/б плита по профнастилу;5
B1010440;Сборные пустотные плиты перекрытий по сборным балкам ;5
B1010442;Сборные ТТ-плиты перекрытий по сборным балкам;5
B1010460;Стальные фермы с балками;5
B1010462;Металлические балки с балками настила);5
B1010464;Стальные фермы с крестовыми связями;5
B1010470;Конструкция перекрытия из ЛСТК;5
B1010480;Деревянные балки с прогонами;5
B1010482;Клееные деревянные балки с прогонами;5
B1010500;Конструкция перекрытия балкона;4
B1010600;Рампы;4
B1010700;Наружные лестницы и пожарные выходы;4
B1010800;Система лотков в перекрытии;4
B1010900;Огнезащита - Конструкция перекрытия;4
B1010910;Огнезащита металлической балки;5
B1010920;Огнезащита стальной колонны;5
B1020;Конструкции кровли;3
B1020100;Плоская кровля - Вертикальные элементы;4
B1020110;Несущие стены - Монолитная бетонная;5
B1020115;Несущие стены - Сборная бетонная;5
B1020120;Несущие стены - Каркас обшитый гипсокартоном;5
B1020125;Несущие стены - Каркас оштукатуренный;5
B1020140;Колонны - Монолитные ;5
B1020145;Колонны - Сборный бетон;5
B1020150;Колонны - Металические;5
B1020155;Колонны - Деревянные;5
B1020200;Плоская кровля - Горизонтальные элементы;4
B1020210;Балки - Монолитные;5
B1020220;Балки - Сборный бетон;5
B1020225;Балки - Сборный бетон ТТ-образные;5
B1020230;Балки - Стальные;5
B1020240;Балки - Деревянные (цельная древесина);5
B1020245;Балки - Деревянные (клееная древесина);5
B1020250;Балки настила - Стальные;5
B1020255;Балки настила - Деревянные (цельная древесина) ;5
B1020258;Балки настила - Деревянные (клееная древесина);5
B1020260;Металлический профнастил;5
B1020265;Деревянное покрытие ;5
B1020270;Сборные пустотные плиты;5
B1020300;Плоская кровля - Конструктивная система;4
B1020310;Монолитная ж/б плита опертая по 2-м сторонам;5
B1020312;Монолитная плоская ж/б плита;5
B1020314;Монолитная ж/б плита с капителями;5
B1020316;Монлитная балочная ж/б плита;5
B1020318;Кесонная монолитная плита;5
B1020320;Монолитная балка и плита по 2 сторонам;5
B1020322;Монолитная балка и плита по 4 сторонам;5
B1020330;Композитная балка и плита;5
B1020332;Композитная балка, настил и плита;5
B1020334;Монолитная ж/б плита по профнастилу;5
B1020340;Сборные пустотные плиты перекрытий по сборным балкам;5
B1020342;Сборные ТТ-плиты по сборным балкам;5
B1020360;Стальные фермы с балками;5
B1020362;Металлические балки с балками настила);5
B1020364;Стальные фермы с крестовыми связями;5
B1020370;Конструкция перекрытия из ЛСТК;5
B1020380;Деревянные балки с прогонами;5
B1020382;Клееные деревянные балки с прогонами;5
B1020400;Скатная конструкция кровли;4
B1020500;Сводчатая конструкция кровли;4
B1020600;Куполообразная конструкция кровли;4
B1020700;Тканевая (натяжная) кровельная конструкция;4
B1020800;Навесы;4
B1020900;Огнезащита - Кровельные конструкции;4
B1020910;Огнезащита металлической балки;5
B1020920;Огнезащита стальной колонны;5
B20;Наружное ограждение;2
B2010;Наружные стены;3
B2010100;Конструкция наружной стены;4
B2010110;Наружная стена - Монолитная;5
B2010120;Наружная стена - Сборный бетон;5
B2010125;Наружная стена - Сборные перемычки и детали;5
B2010130;Наружная стена - Сборно-монолитная Tilt-up;5
B2010140;Наружная стена - Сборный бетон;5
B2010142;Наружная стена - Сборные пустотные блоки;5
B2010144;Наружная стена - Сборная композитная;5
B2010146;Наружная стена - Сборные перемычки и детали;5
B2010148;Наружная стена - Стеклянные блоки;5
B2010150;Наружная стена - Кирпич (Один слой);5
B2010152;Наружная стена - Кирпич (Два отдельных ряда);5
B2010154;Наружная стена - Кирпич пустотный;5
B2010156;Наружная стена - Кирпич композитный;5
B2010158;Наружная стена - Кирпичная облицовка каркаса;5
B2010160;Наружная стена - Каменная облицовка каркаса;5
B2010170;Наружная стена - Каркас металлической обшивки;5
B2010175;Наружная стена - Металлические панели обшивки;5
B2010180;Наружная стена - Деревянный каркас с обшивкой и битумной черепицей;5
B2010185;Наружная стена - Деревянный каркас со штукатуркой;5
B2010200;Парапеты;4
B2010300;Наружные фонари, экраны и ограждения;4
B2010400;Наружная солнечная батарея;4
B2010500;Балконные стены и ограждения;4
B2010600;Наружная нижняя поверхность выступающих конструкций;4
B2020;Наружные окна;3
B2020100;Окна;4
B2020110;Окна - Алюминиевые;5
B2020120;Окна - Металлические;5
B2020130;Окна - Дерево;5
B2020200;Навесные стены;4
B2020210;Навесные стены - каркас стены;5
B2020220;Навесные стены - панели;5
B2020300;Витражи;4
B2020400;Оконные сетчатые экраны;4
B2030;Наружные двери;3
B2030100;Остекленные двери;4
B2030110;Наружные остекленные двери - Алюминиевые;5
B2030120;Наружные остекленные двери - Стальные;5
B2030130;Наружные остекленные двери - Деревянные;5
B2030200;Глухие наружные двери;4
B2030210;Наружные глухие двери - Алюминиевые;5
B2030220;Наружные глухие двери - Стальные;5
B2030230;Наружные глухие двери - Деревянные;5
B2030300;Вращающаяся двери;4
B2030400;Подъемные ворота и решетчатые ворота;4
B2030410;Подъемные ворота;5
B2030420;Решетчатые ворота;5
B2030500;Проемы в стене;4
B2030900;Другие наружные двери;4
B30;Кровля;2
B3010;Покрытие кровли;3
B3010100;Отделочный слой кровли;4
B3010110;Кровля - Сборная;5
B3010120;Кровля - Однослойная мембрана;5
B3010130;Кровля -  Профнастил;5
B3010140;Кровля - Прокатная сталь;5
B3010150;Кровля - Мягкая черепица;5
B3010200;Кровельные дорожки и Мембраны эксплуатируемой кровли;4
B3010300;Кровельная Теплоизоляция и Засыпка;4
B3010310;Кровельная жесткая изоляция;5
B3010400;Кровельная гидроизоляция в местах стыков и окантовки;4
B3010410;Гидроизолирующий кровельный фартук;5
B3010420;Кровельные зашивки по контуру;5
B3010430;Кровельные фартуки;5
B3010500;Кровельные карнизы и свесы крыши;4
B3010600;Водоотливы и Водосточные трубы;4
B3010610;Водоотливы;5
B3010620;Водосточные трубы;5
B3020;Кровельные проемы;3
B3020100;Остекленные кровельные проемы;4
B3020110;Кровельные фонари;5
B3020200;Кровельные люки;4
B3020210;Кровельные люки;5
B3020220;Люки дымоудаления;5
B3020230;Кровельное вспомогательное оснащение;5
B3020300;Дефлектор;4
C;Внутренние элементы ненесущие (перегородки, двери, отделка);1
C10;Внутренние конструкции. Перегородки, Двери, Мебель;2
C1010;Перегородки;3
C1010100;Стационарные перегородки;4
C1010110;Перегородки - Кирпич полнотелый;5
C1010115;Перегородки - Кирпич пустотелый;5
C1010118;Перегородки - Каменные блоки с пустотами;5
C1010120;Перегородки - Мелкоштучные цементо-песчаные блоки;5
C1010130;Перегородки - Стеклянные блоки;5
C1010135;Перегородки - Навесные временные;5
C1010140;Перегородки - Гипсокартонные с деревянным каркасом;5
C1010145;Перегородки - Гипсокартонные с металлическим каркасом;5
C1010150;Перегородки - Оштукатуренные по утеплителю в деревянном каркасе;5
C1010155;Перегородки - Оштукатуренные по утеплителю в металлическом каркасе;5
C1010180;Компоненты перегородки - Деревянный каркас;5
C1010185;Компоненты перегородки - Металлический каркас;5
C1010190;Компоненты перегородки - Гипсокартон;5
C1010195;Компоненты перегородки - Штукатурка;5
C1010200;Перегородки съемные;4
C1010210;Перегородки - Съемные, гипсокартонные;5
C1010300;Перегородки раздвижные;4
C1010310;Перегородки складные;5
C1010400;"Перегородки устраиваемые ""по месту"" сантехнические для туалетов";4
C1010500;"Пергородки устраиваемые ""по месту"" для отсеков, купе, кабин";4
C1010600;Внутренние балюстрады и экраны;4
C1010700;Внутренние окна и витрины;4
C1010710;Внутренние остекленные проемы;5
C1020;Внутренние двери;3
C1020100;Внутренние дверные полотна;4
C1020110;Внутренние дверные полотна - металлические;5
C1020120;Внутренние дверные полотна - деревянные;5
C1020200;Дверные коробки внутренние;4
C1020210;Дверная коробка - Металлическая;5
C1020220;Дверная коробка - Деревянная;5
C1020300;Внутренние двери с коробкой;4
C1020310;Внутренние металлические двери с металлической коробкой;5
C1020320;Внутренние деревянные двери с металлической коробкой;5
C1020330;Внутренние деревянные двери с деревянной коробкой;5
C1020400;Фурнитура для внутренних дверей;4
C1020410;Фурнитура внутренней двери;5
C1020500;Элементы проемов внутренних дверей;4
C1020600;Фрамуги и боковой свет внутренних дверей;4
C1020700;Внутренние люки и двери доступа в тех. помещения;4
C1030;Мебель и приборы;3
C1030100;Отсеки и кабины заводского изготовления;4
C1030110;Сантехнические перегородки заводского изготовления;5
C1030120;Телефонные кабины;5
C1030200;Аксессуары для ванной и санузла;4
C1030210;Аксессуары для ванной и санузла - коммерческие;5
C1030220;Аксессуары для ванной и санузла - жилые;5
C1030230;Больничные шторы раздвижные;5
C1030300;Специализированные хранилища;4
C1030310;Сейфы, шкафчики;5
C1030320;Стеллаж;5
C1030330;Ящик для деталей;5
C1030400;Шкафы и счетчики заводского изготовления;4
C1030410;Шкафы;5
C1030500;Информационная и визуальная навигация;4
C1030510;Знаки;5
C1030520;Информационные стенды, доски для управления строительством;5
C1030530;Доски объявлений;5
C1030540;Классные доски и Белые доски с маркерами;5
C1030600;Внутренние тактильные напольные указатели для МГН;4
C1030610;Турникеты;5
C1030700;Интегрированные приложения;4
C1030900;Другие приспособления;4
C1030910;Почтовые ящики;5
C20;Лестницы;2
C2010;Конструкции лестниц;3
C2010100;Прямые лестницы;4
C2010110;Лестницы - Монолитные;5
C2010120;Лестницы - Сборные;5
C2010130;Лестницы - Стальные;5
C2010140;Лестницы - Деревянные;5
C2010200;Изогнутые лестницы;4
C2010300;Спиралевидные лестницы;4
C2010310;Спиралевидные лестницы - Металлические;5
C2010320;Спиралевидные лестницы - Деревянные;5
C2010400;Лестничные поручни и балюстрады;4
C2020;Лестничная отделка;3
C2020100;Лестница, Отделка ступеней и площадки;4
C2020200;Лестница, Отделка софита;4
C2020300;Отделка лестничного ограждения и балюстрад;4
C30;Внутренняя отделка помещений;2
C3010;Отделка стен;3
C3010100;Отделка стен;4
C3010110;Отделка стен - Краска;5
C3010120;Отделка стен - Декоративная штукатурка;5
C3010130;Отделка стен - Покрытие обоями;5
C3010140;Отделка стен - Зашивка панелями;5
C3010150;Отделка стен - Кафельная плитка;5
C3010300;Отделка колонн;4
C3020;Отделка полов;3
C3020100;Напольные покрытия;4
C3020110;Бетонные стяжки;5
C3020120;Акриловые покрытия;5
C3020130;Эпоксидные покрытия;5
C3020200;Дорожные мембраны;4
C3020300;Уплотнители;4
C3020400;Напольное покрытие;4
C3020410;Напольное покрытие - Sheet Goods;5
